CODIGO;DESCRIPCION;PRESENTACION;EXISTENCIAS
625;ACETONA;Unidad;3
1585;AGENDA 2500;Unidad;-1
1483;AGENDA CUERO;Unidad;0
1383;AGENDAS 2026 VARIADAS;Unidad;5
1503;AGENDAS DE 14900;Unidad;2
1119;ALCANCIA BOLA FUTBOOL;Unidad;0
1355;ALFOMBRAS NAVIDE�AS DE SNOOPY Y GRINCH;Unidad;2
A209;ALMOHADA BELLA DURMIENTE;Unidad;1
A210;ALMOHADA BELLA Y LA BESTIA;Unidad;1
A208;ALMOHADA CENICIENTA;Unidad;-1
A192;ALMOHADA CON COBIJA KUROMI;Unidad;1
589;ALMOHADA CON COBIJA STITCH;Unidad;-1
A198;ALMOHADA CUERPO BLUEY;Unidad;0
A196;ALMOHADA CUERPO SHREK;Unidad;0
A167;ALMOHADA DE CARA DE LABUBU;Unidad;4
1217;ALMOHADA DE CARA DE SNOOPY Y PAJARITO;Unidad;2
A557;ALMOHADA DE CERDITO;Unidad;-1
A187;ALMOHADA DE FIGURA DE DEADPOOL;Unidad;2
495;ALMOHADA DE FORMA SONIC - HOMERO;Unidad;1
1000;ALMOHADA DE KIRBY;Unidad;1
A193;ALMOHADA DE KUROMI;Unidad;1
1225;almohada de mack cars;Unidad;1
1223;almohada de rayo mcqueen 52cm;Unidad;1
1224;almohada de shape cars;Unidad;0
586;ALMOHADA DE SNOOPY;Unidad;-2
1220;almohada de snoopy casa grande;Unidad;1
1230;almohada de snoopy graduado sentado;Unidad;4
A469;ALMOHADA DE STICH 86CM;Unidad;2
A455;ALMOHADA DE STICH CON COBIJA;Unidad;3
A457;ALMOHADA DE STICH REVERSIBLE 38CM;Unidad;1
1226;almohada de stitch con orejas;Unidad;2
1218;almohada de woodstock 46cm;Unidad;2
A585;ALMOHADA FIGURA HARRY POTTER;Unidad;3
A181;ALMOHADA GRANDE DE DUMBO;Unidad;1
1222;almohada grande de woddstock;Unidad;2
1138;ALMOHADA GRANDE STITCH;Unidad;1
A340;ALMOHADA INTENSAMENTE 25CM;Unidad;2
A215;ALMOHADA LARGA HARRY POTTER;Unidad;1
A216;ALMOHADA LARGA JACK;Unidad;-1
A214;ALMOHADA LARGA ONE PIECE;Unidad;0
884;ALMOHADA LUCIFER;Unidad;1
883;ALMOHADA LUCIFER GRANDE;Unidad;2
A175;ALMOHADA OREJA RELIEVE DE SNOOPY;Unidad;1
A199;ALMOHADA PIKACHU;Unidad;1
A211;ALMOHADA RAPUNZEL;Unidad;1
A213;ALMOHADAS CILINDRICAS;Unidad;2
A190;ALMOHADAS CON FORMAS DE CONTROL;Unidad;4
A217;ALMOHADAS CUADRADAS;Unidad;66
A194;ALMOHADAS DE FIGURAS;Unidad;54
1219;almohadas de snoopy graduado;Unidad;6
1482;ALMOHADAS DE SOUTH PARK;Unidad;8
A207;ALMOHADA SIRENITA;Unidad;1
A165;ALMOHADAS LARGAS STITCH;Unidad;2
810;ALMOHADAS RECTANGULARES;Unidad;21
P195;ALMOHADA WINNIE POOH CON COBIJA;Unidad;0
A166;ALMOHADON CARA DE PANDA;Unidad;0
430;ALMOHADON CUADRADO;Unidad;6
1064;ALMOHADON DE FIGURA DE BATMAN;Unidad;1
A174;ALMOHADON FIGURA DE SNOOPY;Unidad;3
A180;ALMOHADON GRANDE DE SULLIVAN;Unidad;1
1092;ANILLO;Unidad;-4
636;anillo bambu;Unidad;-2
A822;ANILLOS DE ACERO;Unidad;410
A823;ANILLOS DE PLATA A�EJADA;Unidad;16
1412;ANTEOJOS DE NI�OS DE BLUEY Y SPIDERMAN;Unidad;3
1080;antifaz;Unidad;1
436;ARETES;Unidad;0
A812;ARETES ACERO;Unidad;19
784;ARETES CEREZA;Unidad;0
786;ARETES CHERRY;Unidad;2
900;ARETES CON LICENCIA ORIGINAL;Unidad;5
785;ARETES DE CEREZA GRANDE;Unidad;4
1139;ARETES DE HOJAS;Unidad;12
859;ARETES DE PLATA;Unidad;0
A813;ARETES FINOS;Unidad;18
A580;ARETES HALLOWEEN;Unidad;3
1322;ARMABLE DE DINOSAURIO MOREINONE;Unidad;0
650;ARMABLE DE EL PRINCIPITO STARRY RIDE ROSE;Unidad;1
653;ARMABLE DEL PRINCIPITO LE PETIT PRINCE ROSE;Unidad;1
652;ARMABLE DEL PRINCIPITO ROSE SWING;Unidad;0
651;armable del principito ROSE WHISPERS;Unidad;1
647;ARMABLE DEL PRINCIPITO STARLIGNT LAMP;Unidad;1
649;ARMABLE DEL PRINCIPITO STARRY RIDE PLANE;Unidad;-3
646;ARMABLE DEL PRINCIPITO STARRY RIDE POCKET WATCH;Unidad;3
648;ARMABLE EL PRINCIPITO 336 PIEZAS;Unidad;1
1295;ARMABLES DE DINOSAURIOS TIRANOSAURIO Y TRICERATOPS;Unidad;1
1296;ARMABLES DE DINOSAURIOS TRICERATOPS Y DINOSAUR;Unidad;1
879;AUDIFONOS DE STITCH;Unidad;-2
639;Audifonos Gamer;Unidad;2
1026;AUDIFONOS HARRY POTTER;Unidad;0
949;AUDIFONOS ONE PIECE;Unidad;2
1275;AVION A ESCALA GRANDE;Unidad;-2
1490;balsamo de stitch;Unidad;-4
1486;BALSAMO LABIAL DE SNOOPY;Unidad;6
1494;BALSAMOS CHERRY;Unidad;3
1413;BANDANA PARA MAQUILLAJE DE JACK - SALLY;Unidad;3
1083;BANDANAS NARUTO;Unidad;-1
B307;BARCOS DE ONE PIECE;Unidad;7
65;BASE NAILEN;Unidad;76
1264;BICICLETA EN CAJA;Unidad;1
5;BILLETERA 8500;Unidad;140
902;billetera calcifer;Unidad;2
1198;BILLETERA COMLOMBIANA PEQUE�A;Unidad;24
908;BILLETERA CON LICENCIA DE JACK;Unidad;1
B554;BILLETERA DE BEETLEJUICE;Unidad;1
1251;BILLETERA DE CUERO CABALLERO;Unidad;35
907;billetera de hello kitty;Unidad;0
4;BILLETERA DE HULE 10.000;Unidad;128
B553;BILLETERA DE KUROMI ORIGINAL;Unidad;2
904;billetera de marie;Unidad;-1
7;BILLETERA DE MUJER 8500;Unidad;63
B623;BILLETERA DE SNOOPY;Unidad;17
905;billetera de tinkerbell;Unidad;1
901;billetera my melody;Unidad;2
1032;billeteras colombianas;Unidad;-2
903;BILLETERAS CON LICENCIA ORIGINAL;Unidad;8
1375;BILLETERAS DE MINNIE MOUSE CON LICENCIA ORIGINAL;Unidad;3
6;BILLETERAS DE MUJER 10000;Unidad;121
899;BILLETERA STITCH;Unidad;0
B501;BILLETERA STITCH BLANCA CON LICENCIA ORIGINAL;Unidad;4
1508;BILLETERA TOMMY DE MUJER;Unidad;1
1414;BINCHA DE MAQUILLAJE DE SNOOPY;Unidad;1
1351;BISUTERIA FINA CON LICENCIA ORIGINAL;Unidad;12
493;BLOQUEADOR;Unidad;6
1380;BLUSAS GRISES DE MICKEY MOUSE;Unidad;2
1207;BOINA DE MARIO BROS Y LUIGUI;Unidad;8
B815;BOLAS SORPRESA;Unidad;0
805;BOLITA SORPRESA;Unidad;17
1067;BOLO DE VIAJE DE HELLO KITTY BLANCO;Unidad;0
1211;BOLSA DECORADA MEDIA PEQUE�A;Unidad;11
1229;bolsa de regalo de stitch;Unidad;2
1205;BOLSA DE REGALO MEDIANA;Unidad;21
1208;BOLSA DE REGALO MEDIANA 2;Unidad;4
1209;BOLSA DE REGALO POTE�A;Unidad;6
1204;BOLSA PEQUE�A DECORADA;Unidad;11
868;BOLSAS DE REGALO;Unidad;-4
1129;bolsa termica stitch;Unidad;0
524;BOLSO BLANCO DE LADO STITCH;Unidad;1
1013;BOLSO BLANCO DE SNOOPY;Unidad;-1
B164;BOLSO CAPIBARA CON NARANJA;Unidad;0
854;BOLSO CORTES 14500;Unidad;0
1170;BOLSO COTES 14500;Unidad;0
1087;BOLSO CRUZADO DE HELLO KITTY;Unidad;-1
1523;BOLSO CRUZADO DE MICKEY MOUSE;Unidad;1
1260;bolso de beetlejuiece;Unidad;1
1344;bolso de chopper;Unidad;1
1210;BOLSO DECORADA MEDIANA;Unidad;11
1345;BOLSO DE DEADPOLL;Unidad;1
837;BOLSO DE DE HOMBRO SNOOPY;Unidad;0
1020;BOLSO DE ESPALDA DE CAPIBARA;Unidad;-2
1358;BOLSO DE ESPALDA DE JACK SKELLINGTON;Unidad;2
1506;bolso de espalda de minnie;Unidad;1
1143;bolso de gengar;Unidad;1
1089;BOLSO DE HEDWIG;Unidad;2
1125;bolso de hello kitty;Unidad;2
B218;BOLSO DE HOMBRO STICH;Unidad;4
536;BOLSO DE KUROMI NEGRO;Unidad;2
1178;bolso de lado de stich original;Unidad;0
1438;bolso de lado de totoro;Unidad;1
1350;BOLSO DEL SE�OR DE LOS ANILLOS;Unidad;0
1066;bolso de mano de hello kitty;Unidad;0
B829;BOLSO DE MANO DE STICH CON LICENCIA ORIGINAL;Unidad;-1
1363;BOLSO DE MANO JACK Y SALLY;Unidad;2
1362;BOLSO DE MANO MICKEY MOUSE;Unidad;1
427;BOLSO DE MANO STITCH;Unidad;-1
504;BOLSO DE MANO STITCH PEQUE�O;Unidad;1
1102;BOLSO DE MINNIE;Unidad;2
1117;BOLSO DE PELUCHE DE KUROMI;Unidad;1
832;BOLSO DE PELUCHE DE STICH CON LICENCIA ORIGINAL;Unidad;1
425;BOLSO DE PELUCHE DE STITCH;Unidad;2
B357;BOLSO DE SHADOW;Unidad;1
1012;BOLSO DE SNOOPY CON CORREA NEGRA;Unidad;1
B356;BOLSO DE SONIC;Unidad;0
1135;BOLSO DE STICH CELESTE ORIGINAL;Unidad;2
B834;BOLSO DE STICH CON BRAZOS MAGNETICOS;Unidad;1
1360;BOLSO DE VIAJE CELESTE DE STITCH;Unidad;1
1062;BOLSO DE VIAJE DE MICKEY;Unidad;2
1191;BOLSO DE VIAJE LOUNGEFLY DE STITCH Y TRAPOS;Unidad;1
1024;BOLSO DE VIAJE STITCH;Unidad;2
816;BOLSO FINO;Unidad;4
1538;BOL.SO HELLO KITTY;Unidad;1
398;BOLSO HELLO KITTY CON LICENCIA ORIGINAL;Unidad;0
1439;bolso hello kitty de lado;Unidad;1
1565;BOLSO HELLO KITTY ESPALDA;Unidad;0
1183;BOLSO HER UNIVERSE DE SAILOR MOON;Unidad;1
1437;bolso hot topic de gatita marie;Unidad;1
1554;BOLSO JACK ALUMBRA EN LA OBSCURIDAD;Unidad;-2
1180;BOLSO LICENCIA ORIGINAL DE CAPITANA MARVEL;Unidad;1
1366;BOLSO LOUNGEFLY DE CAPITAN AMERICA;Unidad;1
1433;BOLSO LOUNGEFLY DE EL CADAVER DE LA NOVIA;Unidad;1
1186;BOLSO LOUNGEFLY DE GARFIELD;Unidad;1
1093;BOLSO LOUNGEFLY DE JACK Y SALLY;Unidad;2
1181;BOLSO LOUNGEFLY DE KUROMI, MY MELODY Y MY SWEET PIANO;Unidad;1
1185;BOLSO LOUNGEFLY DE ONE PIECE;Unidad;1
1182;BOLSO LOUNGEFLY DE SNOOPY;Unidad;1
1188;BOLSO LOUNGEFLY DE STITCH COLOR BEIGE;Unidad;2
1189;BOLSO LOUNGEFLY DE STITCH CON TRAPOS;Unidad;1
1431;BOLSO LUFFY ONE PIECE;Unidad;-1
1365;BOLSO MANOS LIBRES DE JACK;Unidad;2
1367;BOLSO MANOS LIBRES DE MINNIE MOUSE;Unidad;1
1364;BOLSO MANOS LIBRES DE STITCH CELESTE;Unidad;-1
1335;BOLSO NEGRO CRUZADO;Unidad;1
1436;bolso original coraline;Unidad;1
1068;BOLSO ORIGINAL DE SALLY;Unidad;1
887;BOLSO ORIGINAL HP;Unidad;-1
505;BOLSO PARA CELULAR DE STITCH;Unidad;2
978;BOLSO PLEGABLE DE STITCH;Unidad;2
842;BOLSOS DE CAPIBARA;Unidad;-1
1015;bolsos de hello kitty peludo;Unidad;1
643;BOLSOS DE TELA DE PERSONAJES JACK - HELLO KITTY;Unidad;4
1201;BOLSO STITCH CELESTE PRIMARK;Unidad;1
523;BOLSO STITCH CON TRAPOS;Unidad;7
519;BOLSO TOTORO;Unidad;0
1148;BOLSO TOTORO;Unidad;2
1044;BOLSO WINNIE POOH;Unidad;1
1429;BOTA NAVIDE�A DE JACK SKELLINGTON;Unidad;1
1477;BOTAS NAVIDE�AS DE PERSONAJES;Unidad;11
981;BOTELLA BLUEY;Unidad;2
1017;BOTELLA CALAVERA;Unidad;3
1267;BOTELLA DE JACK ORIGINAL;Unidad;2
1518;BOTELLA DE PERSONAJES GRANDE CON AGARRADERA;Unidad;5
1449;BOTELLA DE STAR WARS;Unidad;1
931;BOTELLA DE STITCH;Unidad;2
1123;botella de stitch con agarradera;Unidad;9
1202;BOTELLA MONSTER INC;Unidad;1
869;BOTELLAS DE SANRIO;Unidad;1
850;botellas p�ersonajes de disney;Unidad;6
426;botellas san rio;Unidad;7
1206;BOTELLAS STANLEY Y PEANUTS Y MAZINGER;Unidad;8
2;BOTELLAS SUBLIMADAS Y MINECRAFT;Unidad;79
628;BOTELLA VACUUM;Unidad;10
1527;BOTELLA YETY;Unidad;6
1240;BRASSIER INVISIBLE (PEZONERAS CAJA GRANDE);Unidad;1
417;BRILLO DE LABIOS;Unidad;9
1111;BROCHAS PARA CEJAS;Unidad;-1
B231;BUFANDA HARRY POTTER;Unidad;5
B232;BUFANDA HARRY POTTER CON ESCUDO;Unidad;7
788;buho de harry potter;Unidad;1
1581;BULMA BANDAI;Unidad;1
1305;BULTO ONE PIECE;Unidad;0
P799;burro;Unidad;1
1005;cabezones de animados;Unidad;6
802;CADENA CUBANA;Unidad;1
B500;CADENA DE ACERO;Unidad;51
789;CADENA DE CORDON;Unidad;3
787;CADENAS CUBANA;Unidad;9
1468;CADENAS DE MICKEY MOUSE;Unidad;1
1050;CAJA DE BISUTERIA;Unidad;15
1147;CAJA DE BROCHAS DE MAQUILLAJE;Unidad;4
1253;CAJA DE REGALO MEDIANA DE SNOOPY;Unidad;-5
1077;caja de reloj;Unidad;-1
1078;caja de reloj;Unidad;8
C592;CAJA GRANDE DE SNOOPY;Unidad;1
526;CAJA MEDIANA STITCH;Unidad;9
C591;CAJA PEQUE�A DE SNOOPY;Unidad;-5
527;CAJA PEQUE�A STITCH;Unidad;3
938;CAJAS MUSICALES DE ANIME;Unidad;-2
838;CAJA SOPRESA ONE PIECE;Unidad;-1
525;CAJAS STITCH GRANDES;Unidad;4
1474;CALENDARIO DE MICKEY MOUSE;Unidad;0
C535;CAMISA DE JACK;Unidad;6
534;CAMISA DE STICH;Unidad;1
1238;CAMISAS DE EQUIPOS NACIONALES;Unidad;0
1124;canguro de mickey;Unidad;1
1021;canguro harry potter;Unidad;-1
CA236;CAPA AZUL RAVENCLAW;Unidad;1
CA233;CAPA HARRY POTTER;Unidad;10
CA237;CAPA MARILLA HUFFLEPUFF;Unidad;2
CA235;CAPA VERDE SLYTHERIN;Unidad;8
1336;CAPIBARA DE PANAL Y AGUACATE 30CM;Unidad;0
1171;CAPIBARA DE PANAL Y AGUACATE 50CM;Unidad;0
967;CARRO A CONTROL REMOTO;Unidad;0
C616;CARRO DE COLECCION;Unidad;-5
1086;CARRO DE SPIDERMAN;Unidad;-1
1011;CARRO MARIO;Unidad;-1
1137;carro monster jam;Unidad;3
51;CARROS COLECCION;Unidad;-2
847;CARROS GRANDES DE COLECCION;Unidad;5
1104;CARROS HOT WEELS;Unidad;-1
1382;CARRUCEL DE MELODY;Unidad;1
1370;CARTERA BLANCA MINNIE MOUSE;Unidad;1
1371;CARTERA CELESTE DE STITCH;Unidad;1
1381;CARTERA DE JACK SKELLINGTON;Unidad;1
1440;CARTERA DE LADO DE JACK;Unidad;0
1517;CARTERA DE LADO DE JACK;Unidad;2
807;cartera de minnie;Unidad;0
521;CARTERA HARRY POTTER GRANDE;Unidad;4
522;CARTERA PEQUE�AS HARRY POTTER;Unidad;3
1489;CARTUCHERA MINECRAFT;Unidad;4
1392;CEPILLO CON COLA DE JACK - SALLY;Unidad;2
1521;CERDITO FRESA GRANDE;Unidad;2
1070;CHANCHO CACHETON;Unidad;-1
P481;CHANCHO MILK 85CM;Unidad;1
1343;charizard 23cm;Unidad;1
1172;chimichanga truck;Unidad;3
864;chispitas;Unidad;-3
1132;cobija de girasol;Unidad;1
1101;COBIJA DE SNOOPY Y JACK;Unidad;1
1166;collar;Unidad;6
1168;collar sencillo;Unidad;11
718;COLOGNE BRUT 147ML;Unidad;2
1154;COMBO BOTELLA CON AUDIFONOS;Unidad;3
1462;combo harry potter;Unidad;-1
1333;CONFITES HARRY POTTER;Unidad;0
1454;CONTADOR DE SNOOPY;Unidad;1
790;COPA DE ABRE VINO;Unidad;2
1434;COQUETA DE UNICORNIO;Unidad;0
C229;CORBATA HARRY POTTER;Unidad;10
C230;CORBATA HARRY POTTER CON LICENCIA;Unidad;2
1016;corona;Unidad;4
1227;corona sencilla;Unidad;5
976;COSMETIQUERA CELESTE DE STITCH;Unidad;2
1368;COSMETIQUERA DE minnie;Unidad;1
1031;COSMETIQUERA DE STITCH;Unidad;0
1563;COSMETIQUERA HELLO KITTY;Unidad;0
723;CREMA AQUAMARINE 437ML;Unidad;2
582;CREMAS DE PERSONAJES;Unidad;37
725;CREMA VICTORIA SECRET VAINILLA 236ML;Unidad;1
617;CUADRO DE ANIME CON LUZ;Unidad;11
1176;cuadro de luz de snoopy;Unidad;4
741;CUADROS 3D;Unidad;5
1025;DADOS JACK;Unidad;0
432;DELINEADOR DE OJOS;Unidad;1
876;delineador mac;Unidad;-2
D510;DESODORANTE BRUT EN AEROSOL;Unidad;3
D512;DESODORANTE BRUT EN BARRA;Unidad;2
727;DESODORANTE POLO 75G;Unidad;1
D509;DESODORANTE SPRAY;Unidad;13
724;DESODORANTE WILD COUNTRY 75ML;Unidad;5
559;DIADEMAS;Unidad;1
1511;DIADEMAS DE PERSONAJES;Unidad;16
D853;DIADEMA STCHI;Unidad;1
843;DIADEMA STITCH;Unidad;-1
1131;dianema;Unidad;0
1543;DIANEMA STITCH;Unidad;9
1133;DIJES;Unidad;37
1556;DINOSAURIO TOY STORY;Unidad;-1
D238;DISFRAZ HARRY POTTER;Unidad;1
833;DULCERA DE STICH CON LICENCIA ORIGINAL;Unidad;2
1374;DUO BALSAMO LABIAL DE SNOOPY;Unidad;4
841;ENCRESPADOR MANZANITA;Unidad;24
1435;ESFERA DE EL GRINCH;Unidad;3
1040;esferas de dragon ball;Unidad;2
1258;esferas de hello kitty Y caja musical;Unidad;11
1107;ESFERAS DE KUROMI Y HELLO KITTY;Unidad;1
1548;esferas de studio glibli;Unidad;5
1566;ESFERAS DRAGON BALL 10.000;Unidad;-1
E858;ESFERAS MUSICALES;Unidad;6
1071;ESFERAS MUSICALES REDONDAS;Unidad;4
1445;ESFERAS NAVIDE�AS;Unidad;1
1023;esferas sorpresa studio glibli;Unidad;6
64;ESMALTES;Unidad;69
420;ESPEJOS;Unidad;3
E416;ESPEJOS DE STITCH;Unidad;5
1519;ESPEJOS OREJAS DE GATO;Unidad;11
511;ESPUMA PARA AFEITAR MAGNATE;Unidad;3
1037;faja;Unidad;2
1079;faja colombina;Unidad;0
934;FIGURA ALIEN TOY STORY;Unidad;1
1279;FIGURA ANIMATRONICA DE STITCH;Unidad;1
1578;FIGURA BANDAI EVOLVE;Unidad;1
1579;FIGURA BANDAI MAXIMATIC;Unidad;1
1505;figura barco one piece;Unidad;0
927;FIGURA BEETLEJUICE Y MANO DE MERLINA , MICAHEL MYERS, EMILY;Unidad;1
848;FIGURA BLUEY PEQUE�A;Unidad;-2
1291;FIGURA BROLY SUPER SAYAYIN;Unidad;1
1007;figura chiet;Unidad;-1
962;FIGURA DE ARIEL;Unidad;1
1042;FIGURA DE BABY GROOT;Unidad;0
1328;FIGURA DE BATMAN;Unidad;2
1108;figura de bluey;Unidad;2
990;FIGURA DE CHUCKY;Unidad;0
1043;FIGURA DE DEADPOOL;Unidad;1
928;FIGURA DE DON CANGREJO Y BOB ESPPONJA;Unidad;2
943;FIGURA DE GENIO;Unidad;1
1284;FIGURA DE GOKU BLACK ROSE SUPER SAYAYIN DRAGON BALL;Unidad;0
661;FIGURA DE GOKU SUPER SAIYANS;Unidad;1
1407;FIGURA DE HELLO KITTY CON LAZOS INTERCAMBIABLES;Unidad;1
1441;FIGURA DE HELLO KITTY CUMPLEA�OS;Unidad;1
